map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt,reock,polsby_popper,cut_score,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
official-proxy,0.007300,0.494300,0.017800,7,0.500000,6.750900,0.482200,7,0.012100,0.006400,0.002800,0.002900,0.001100,0.002600,0.001200,0.187500,0.007400,0.007000,0.000400,-0.005600,3.158200,0.225600,0.097100,2.619000,3.158200,0.225600,3.111400,0.591000,0.603200,94,30,0.940500,5,7.475300,5,60,1.762100,8.297600,68,0.414500,0.319500,604,60,1.147300,1.381800,12,12,59
000000000,0.008400,0.494300,0.131100,7,0.500000,5.163900,0.368900,4,0.125400,0.119700,0.114800,0.111400,0.024200,0.110000,0.027900,16.190600,0.033200,0.032200,0.001000,0.031100,3.757500,0.268400,0.086700,2.860800,3.757500,0.268400,22.934300,0.639900,0.565400,37,36,0.000000,5,7.538500,5,50,0.527000,8.374800,56,0.361300,0.183800,806,33,1.317500,2.143900,40,47,7
000000001,0.008700,0.494300,0.125900,7,0.500000,5.236800,0.374100,4,0.120200,0.114500,0.108800,0.105400,0.022700,0.104100,0.025700,14.802600,0.031700,0.030500,0.001200,0.027500,3.961400,0.283000,0.084600,2.994800,3.961400,0.283000,22.024300,0.635900,0.564100,40,38,0.000000,5,7.569000,5,50,0.526500,8.405300,56,0.356500,0.184300,803,32,1.317500,2.143900,40,47,7
000000002,0.009100,0.494300,0.124800,7,0.500000,5.252500,0.375200,4,0.119100,0.113400,0.107400,0.103800,0.021900,0.102500,0.024700,14.668600,0.031700,0.030700,0.001000,0.027400,4.022300,0.287300,0.084300,3.046500,4.022300,0.287300,21.827800,0.635900,0.563700,40,38,0.000000,5,7.569000,5,50,0.526500,8.594800,56,0.378200,0.193000,791,37,1.311800,2.098600,38,45,8
000000003,0.008600,0.494300,0.127500,7,0.500000,5.215000,0.372500,4,0.121800,0.116100,0.110000,0.106200,0.022000,0.104800,0.025100,14.998500,0.030200,0.029200,0.001100,0.028000,4.065700,0.290400,0.084400,3.067800,4.065700,0.290400,22.296900,0.635900,0.563800,39,39,0.000000,5,7.631300,5,50,0.478700,8.657100,55,0.378900,0.196500,785,38,1.310500,2.076300,36,44,8
000000004,0.008900,0.494300,0.126600,7,0.500000,5.226900,0.373400,4,0.120900,0.115200,0.108900,0.105200,0.021800,0.103800,0.024800,14.776600,0.030200,0.029100,0.001100,0.027400,4.105600,0.293300,0.084100,3.100000,4.105600,0.293300,22.147900,0.635300,0.563700,40,39,0.000000,5,7.633300,5,50,0.461000,8.659000,54,0.390500,0.203300,770,41,1.297100,2.015500,34,41,10
000000005,0.008900,0.494300,0.126700,7,0.500000,5.226200,0.373300,4,0.121000,0.115300,0.109000,0.105300,0.021800,0.103900,0.024900,14.784500,0.030200,0.029100,0.001100,0.027400,4.103300,0.293100,0.084100,3.098400,4.103300,0.293100,22.157200,0.635300,0.563700,40,39,0.000000,5,7.633300,5,50,0.461000,8.659000,54,0.383800,0.198500,778,40,1.297600,2.006900,33,41,10
000000006,0.008900,0.494300,0.127100,7,0.500000,5.220900,0.372900,4,0.121400,0.115600,0.109500,0.105800,0.022100,0.104400,0.025200,14.813300,0.030200,0.029000,0.001300,0.027300,4.082800,0.291600,0.084300,3.080300,4.082800,0.291600,22.222300,0.635300,0.563900,39,39,0.000000,5,7.633300,5,50,0.461000,8.595800,54,0.410300,0.209600,773,46,1.298400,1.982400,32,40,10
000000007,0.009400,0.494300,0.128900,7,0.500000,5.194900,0.371100,4,0.123200,0.117500,0.111700,0.107900,0.022500,0.106500,0.025600,15.248200,0.030200,0.029000,0.001200,0.028400,4.003800,0.286000,0.084900,3.018400,4.003800,0.286000,22.547600,0.636400,0.564300,38,38,0.000000,5,7.632800,5,50,0.469200,8.595300,54,0.401400,0.209500,777,44,1.297700,2.005600,33,41,10
000000008,0.009400,0.494300,0.121600,7,0.500000,5.297400,0.378400,4,0.115900,0.110200,0.102400,0.098400,0.019200,0.096800,0.021200,12.480300,0.030200,0.028800,0.001400,0.021200,4.422900,0.315900,0.077600,3.357000,4.422900,0.315900,21.267300,0.623400,0.559300,42,42,0.000000,5,7.618100,5,50,0.438000,8.955300,54,0.398300,0.214800,772,44,1.296500,2.000800,33,40,10
000000009,0.009400,0.494300,0.120500,7,0.500000,5.313300,0.379500,4,0.114800,0.109000,0.101200,0.097200,0.019000,0.095700,0.020900,12.319900,0.028700,0.027300,0.001400,0.020900,4.453900,0.318100,0.077600,3.374300,4.453900,0.318100,21.068500,0.623400,0.559300,43,42,0.000000,5,7.623400,5,50,0.438100,8.941000,54,0.395100,0.209400,776,42,1.295000,1.981100,32,39,10
000000010,0.009400,0.494300,0.120300,7,0.500000,5.315500,0.379700,4,0.114600,0.108900,0.101000,0.097100,0.019000,0.095500,0.020900,12.300300,0.028700,0.027300,0.001400,0.020800,4.457100,0.318400,0.077600,3.376000,4.457100,0.318400,21.041800,0.623400,0.559300,43,42,0.000000,5,7.629100,5,50,0.438700,8.918400,54,0.395100,0.211000,771,43,1.295100,1.981200,32,39,10
000000011,0.008200,0.494300,0.122500,7,0.500000,5.285200,0.377500,4,0.116800,0.111100,0.103300,0.099200,0.019200,0.097700,0.021300,12.600100,0.028700,0.027300,0.001400,0.021500,4.411100,0.315100,0.077600,3.350900,4.411100,0.315100,21.420100,0.623400,0.559300,42,42,0.000000,5,7.628800,5,50,0.407600,8.926200,54,0.395300,0.217700,762,44,1.291400,1.943400,30,36,11
000000012,0.008200,0.494300,0.122500,7,0.500000,5.284500,0.377500,4,0.116800,0.111100,0.103400,0.099300,0.019300,0.097700,0.021400,12.622900,0.028700,0.027300,0.001300,0.021600,4.409000,0.314900,0.077500,3.349500,4.409000,0.314900,21.428500,0.623400,0.559200,42,42,0.000000,5,7.628800,5,50,0.407600,8.926200,54,0.398600,0.218000,765,44,1.289800,1.910700,28,34,11
000000013,0.008400,0.494300,0.097800,7,0.500000,5.631500,0.402200,5,0.092000,0.086300,0.076000,0.073100,0.014600,0.071900,0.015700,8.452700,0.025900,0.024800,0.001100,0.012300,4.942700,0.353100,0.072600,3.805000,4.942700,0.353100,17.094200,0.592000,0.561800,54,47,0.000000,5,7.713800,5,50,0.430300,8.802700,54,0.394000,0.220500,763,44,1.284000,1.882500,28,33,12
000000014,0.008400,0.494300,0.090700,7,0.500000,5.730700,0.409300,5,0.084900,0.079200,0.069100,0.066700,0.013900,0.065700,0.014800,7.730700,0.026500,0.025500,0.001000,0.010900,4.871000,0.347900,0.072500,3.765200,4.871000,0.347900,15.854800,0.592000,0.561600,58,46,0.000000,5,7.488900,5,50,0.447000,8.577800,54,0.399500,0.232800,718,46,1.261300,1.809900,26,30,16
000000015,0.008400,0.494300,0.100500,7,0.500000,5.593300,0.399500,4,0.094800,0.089000,0.078600,0.075500,0.014800,0.074300,0.016300,8.771000,0.026500,0.025500,0.001000,0.013100,4.993000,0.356600,0.071400,3.831000,4.993000,0.356600,17.570800,0.613300,0.554700,53,48,0.000000,5,7.438900,5,50,0.434000,8.648900,54,0.408500,0.235200,699,48,1.240800,1.747400,25,27,18
000000016,0.008400,0.494300,0.100700,7,0.500000,5.590300,0.399300,4,0.095000,0.089300,0.078800,0.075800,0.014900,0.074500,0.016300,8.789500,0.026500,0.025500,0.001000,0.013100,4.983300,0.356000,0.071500,3.824400,4.983300,0.356000,17.608700,0.613300,0.554700,53,47,0.000000,5,7.438900,5,50,0.434000,8.648900,54,0.409800,0.242300,686,50,1.239900,1.744400,25,27,18
000000017,0.008400,0.494300,0.102100,7,0.500000,5.571200,0.397900,4,0.096300,0.090600,0.080200,0.077000,0.015000,0.075800,0.016500,8.931600,0.026500,0.025500,0.001000,0.013400,4.985200,0.356100,0.071500,3.825300,4.985200,0.356100,17.846700,0.613300,0.554800,52,47,0.000000,5,7.424900,5,50,0.432300,8.659400,54,0.410600,0.244200,692,50,1.239400,1.743400,25,27,18
000000018,0.008400,0.494300,0.102400,7,0.500000,5.566200,0.397600,4,0.096700,0.091000,0.080400,0.077300,0.015000,0.076000,0.016500,8.830200,0.026500,0.025200,0.001300,0.013000,5.004500,0.357500,0.071300,3.846800,5.004500,0.357500,17.909800,0.612500,0.554800,52,48,0.000000,5,7.425900,5,50,0.556700,8.660400,56,0.428200,0.251800,681,54,1.236900,1.720000,24,26,19
000000019,0.008400,0.494300,0.102300,7,0.500000,5.568000,0.397700,4,0.096600,0.090800,0.080300,0.077200,0.015000,0.075900,0.016500,8.813800,0.026500,0.025200,0.001300,0.012900,5.009800,0.357800,0.071300,3.850000,5.009800,0.357800,17.887300,0.612500,0.554800,52,48,0.000000,5,7.441000,5,50,0.556700,8.668400,56,0.427200,0.251300,684,54,1.236900,1.719900,24,26,19
000000020,0.008400,0.494300,0.102500,7,0.500000,5.565200,0.397500,4,0.096800,0.091100,0.080400,0.077300,0.015000,0.076100,0.016500,8.833100,0.025900,0.024700,0.001300,0.013000,5.017400,0.358400,0.071300,3.854200,5.017400,0.358400,17.922700,0.612500,0.554800,52,48,0.000000,5,7.439200,5,50,0.556200,8.666600,56,0.428200,0.267300,665,56,1.234500,1.699600,23,25,19
000000021,0.008400,0.494300,0.102200,7,0.500000,5.568800,0.397800,4,0.096500,0.090800,0.080100,0.077000,0.014900,0.075700,0.016500,8.828100,0.025900,0.024800,0.001200,0.013100,5.029200,0.359200,0.071200,3.862200,5.029200,0.359200,17.876900,0.612500,0.554600,52,48,0.000000,5,7.439200,5,50,0.556200,8.666500,56,0.420000,0.265200,677,54,1.235900,1.705500,23,25,19
000000022,0.008200,0.494300,0.099900,7,0.500000,5.600900,0.400100,4,0.094200,0.088500,0.078600,0.075200,0.014800,0.073900,0.015100,8.377800,0.025900,0.024400,0.001500,0.011700,4.907400,0.350500,0.070900,3.728700,4.907400,0.350500,17.476300,0.611400,0.554600,53,47,0.000000,5,8.150400,5,50,0.556700,8.997700,56,0.402100,0.261100,687,50,1.236700,1.706600,23,25,19
000000023,0.008200,0.494300,0.100400,7,0.500000,5.594900,0.399600,4,0.094600,0.088900,0.079100,0.075800,0.014900,0.074400,0.015100,8.403600,0.025900,0.024300,0.001600,0.011700,4.888100,0.349100,0.071000,3.715500,4.888100,0.349100,17.551600,0.611400,0.554800,53,47,0.000000,5,8.150400,5,50,0.556700,8.997700,56,0.410100,0.262700,675,52,1.235300,1.701000,23,25,19
000000024,0.008200,0.494300,0.107700,7,0.500000,5.492500,0.392300,4,0.102000,0.096200,0.087300,0.083600,0.016400,0.082200,0.017000,9.655400,0.026400,0.024800,0.001600,0.014500,4.688500,0.334900,0.072800,3.566100,4.688500,0.334900,18.830500,0.614600,0.556000,49,45,0.000000,5,8.062400,5,50,0.559000,8.909700,56,0.413500,0.256200,666,52,1.235400,1.701200,23,25,19
000000025,0.008300,0.494300,0.110400,7,0.500000,5.454500,0.389600,4,0.104700,0.099000,0.090100,0.086300,0.016700,0.084800,0.017500,10.013300,0.030200,0.028700,0.001500,0.015400,4.636000,0.331100,0.072700,3.540400,4.636000,0.331100,19.304400,0.614600,0.555900,48,44,0.000000,5,7.982500,5,50,0.496700,8.886300,55,0.418300,0.263700,661,54,1.237400,1.681300,21,23,19
000000026,0.008300,0.494300,0.111800,7,0.500000,5.435200,0.388200,4,0.106100,0.100300,0.091800,0.088000,0.017200,0.086500,0.018300,10.473800,0.030200,0.028900,0.001300,0.016600,4.569800,0.326400,0.073700,3.493500,4.569800,0.326400,19.545500,0.616600,0.556500,47,44,0.000000,5,7.278400,5,50,0.496700,8.835300,55,0.420000,0.267000,657,55,1.236000,1.676600,20,22,19
000000027,0.008300,0.494300,0.110900,7,0.500000,5.447500,0.389100,4,0.105200,0.099500,0.090800,0.087000,0.017000,0.085500,0.018200,10.397100,0.029500,0.028300,0.001200,0.016600,4.602600,0.328800,0.073500,3.515300,4.602600,0.328800,19.392600,0.616600,0.556300,47,44,0.000000,5,7.333700,5,50,0.440500,8.828700,54,0.417200,0.262900,645,54,1.236400,1.675900,20,23,19
000000028,0.008300,0.494300,0.111600,7,0.500000,5.437500,0.388400,4,0.105900,0.100200,0.091600,0.087900,0.017200,0.086400,0.018500,10.494300,0.029500,0.028300,0.001200,0.016800,4.568400,0.326300,0.073600,3.491100,4.568400,0.326300,19.516800,0.616600,0.556300,47,44,0.000000,5,7.333700,5,50,0.440500,8.790900,54,0.422200,0.263300,645,55,1.234600,1.653600,19,22,19
000000029,0.008300,0.494300,0.064600,7,0.500000,6.095700,0.435400,5,0.058900,0.053200,0.047800,0.045400,0.011700,0.044300,0.007900,5.604700,0.029500,0.028100,0.001400,0.006200,3.729700,0.266400,0.084000,2.942800,3.729700,0.266400,11.295900,0.607700,0.570900,71,36,0.000000,5,7.622700,5,50,0.505600,8.785100,55,0.412000,0.269900,652,54,1.245800,1.686500,19,22,18
000000030,0.008300,0.494300,0.075200,7,0.500000,5.947500,0.424800,5,0.069500,0.063700,0.060600,0.058300,0.016200,0.057300,0.013200,8.317700,0.035700,0.035300,0.000400,0.014000,3.203400,0.228800,0.090900,2.547500,3.203400,0.228800,13.146700,0.618700,0.575400,65,31,0.000000,5,6.671400,5,50,0.604700,8.177900,56,0.410800,0.265200,671,52,1.245800,1.686500,19,22,18
000000031,0.008300,0.494300,0.075200,7,0.500000,5.947500,0.424800,5,0.069500,0.063700,0.060600,0.058300,0.016200,0.057300,0.013200,8.317700,0.035700,0.035300,0.000400,0.014000,3.203400,0.228800,0.090900,2.547500,3.203400,0.228800,13.146700,0.618700,0.575400,65,31,0.000000,5,6.671400,5,50,0.604700,8.177900,56,0.410800,0.265200,671,52,1.245800,1.686500,19,22,18
000000032,0.008300,0.494300,0.075200,7,0.500000,5.947300,0.424800,5,0.069500,0.063800,0.060600,0.058400,0.016200,0.057300,0.013200,8.319400,0.035700,0.035300,0.000400,0.014000,3.202400,0.228700,0.090900,2.546800,3.202400,0.228700,13.149900,0.618700,0.575400,65,30,0.000000,5,6.671400,5,50,0.604700,8.165800,56,0.402700,0.264900,669,51,1.242700,1.657100,18,21,18
000000033,0.008300,0.494300,0.067000,7,0.500000,6.061900,0.433000,5,0.061300,0.055600,0.050500,0.048700,0.013200,0.047900,0.011300,6.803100,0.025900,0.025500,0.000400,0.010200,3.656800,0.261200,0.088100,2.892400,3.656800,0.261200,11.717600,0.614700,0.573300,69,35,0.000000,5,6.642800,5,50,0.824700,8.137200,58,0.419500,0.282300,640,57,1.239900,1.625000,17,20,18
