map,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness
official-proxy,0.494300,0.017700,7,0.500000,6.752500,0.482300,7,0.012000,0.006300,0.002800,0.002900,0.001100,0.002600,0.001200,0.192100,0.007400,0.007000,0.000400,-0.005600,3.166200,0.226200,0.097000,2.625000,3.166200,0.226200,3.119000,0.590900,0.603000,94,30
000000000,0.494300,0.131000,7,0.500000,5.166400,0.369000,4,0.125300,0.119600,0.114800,0.111300,0.024200,0.110000,0.027900,16.170200,0.033200,0.032200,0.001000,0.031100,3.765100,0.268900,0.086600,2.859800,3.765100,0.268900,23.109800,0.639900,0.565300,37,36
000000001,0.494300,0.125800,7,0.500000,5.239300,0.374200,4,0.120100,0.114400,0.108800,0.105400,0.022700,0.104100,0.025700,14.783100,0.031700,0.030500,0.001200,0.027500,3.969000,0.283500,0.084500,2.993800,3.969000,0.283500,22.190800,0.635900,0.564000,40,38
000000002,0.494300,0.124600,7,0.500000,5.255200,0.375400,4,0.119000,0.113300,0.107400,0.103800,0.021800,0.102500,0.024700,14.647900,0.031700,0.030800,0.000900,0.027400,4.030400,0.287900,0.084300,3.045600,4.030400,0.287900,21.990800,0.635900,0.563600,41,38
000000003,0.494300,0.127300,7,0.500000,5.217500,0.372700,4,0.121700,0.116000,0.109900,0.106200,0.022000,0.104800,0.025100,14.978100,0.030300,0.029300,0.001000,0.028000,4.073800,0.291000,0.084400,3.066600,4.073800,0.291000,22.465200,0.635900,0.563700,39,39
000000004,0.494300,0.126500,7,0.500000,5.229400,0.373500,4,0.120800,0.115100,0.108900,0.105200,0.021800,0.103800,0.024800,14.757300,0.030300,0.029200,0.001100,0.027400,4.113700,0.293800,0.084000,3.098800,4.113700,0.293800,22.315500,0.635200,0.563600,40,39
000000005,0.494300,0.126500,7,0.500000,5.228800,0.373500,4,0.120800,0.115200,0.109000,0.105300,0.021800,0.103900,0.024800,14.764000,0.030300,0.029200,0.001100,0.027400,4.111600,0.293700,0.084000,3.097400,4.111600,0.293700,22.323700,0.635200,0.563600,40,39
000000006,0.494300,0.126900,7,0.500000,5.223500,0.373100,4,0.121200,0.115600,0.109400,0.105800,0.022100,0.104500,0.025200,14.793400,0.030300,0.029100,0.001300,0.027300,4.091100,0.292200,0.084200,3.079200,4.091100,0.292200,22.389900,0.635200,0.563800,39,39
000000007,0.494300,0.128800,7,0.500000,5.197400,0.371200,4,0.123100,0.117400,0.111700,0.107900,0.022500,0.106500,0.025600,15.229300,0.030300,0.029100,0.001200,0.028400,4.011700,0.286500,0.084800,3.016900,4.011700,0.286500,22.719100,0.636300,0.564200,38,38
000000008,0.494300,0.121400,7,0.500000,5.299800,0.378600,4,0.115800,0.110100,0.102400,0.098400,0.019200,0.096900,0.021200,12.469100,0.030300,0.028900,0.001400,0.021200,4.430500,0.316500,0.077500,3.354800,4.430500,0.316500,21.428600,0.623300,0.559200,42,42
000000009,0.494300,0.120300,7,0.500000,5.315700,0.379700,4,0.114600,0.109000,0.101200,0.097200,0.019000,0.095700,0.020900,12.309200,0.028700,0.027400,0.001400,0.020900,4.461400,0.318700,0.077500,3.372100,4.461400,0.318700,21.228400,0.623300,0.559200,43,42
000000010,0.494300,0.120200,7,0.500000,5.317800,0.379800,4,0.114500,0.108800,0.101000,0.097100,0.019000,0.095600,0.020900,12.289500,0.028700,0.027400,0.001400,0.020900,4.464600,0.318900,0.077500,3.373800,4.464600,0.318900,21.201400,0.623300,0.559200,43,43
000000011,0.494300,0.122300,7,0.500000,5.287700,0.377700,4,0.116600,0.111000,0.103300,0.099200,0.019200,0.097700,0.021300,12.587100,0.028700,0.027400,0.001400,0.021500,4.418700,0.315600,0.077500,3.348600,4.418700,0.315600,21.580600,0.623300,0.559200,42,42
000000012,0.494300,0.122400,7,0.500000,5.287000,0.377600,4,0.116700,0.111000,0.103400,0.099300,0.019300,0.097800,0.021400,12.609800,0.028700,0.027400,0.001300,0.021600,4.416600,0.315500,0.077500,3.347100,4.416600,0.315500,21.589200,0.623300,0.559100,42,42
000000013,0.494300,0.097600,7,0.500000,5.634200,0.402400,5,0.091900,0.086200,0.076000,0.073100,0.014600,0.071900,0.015700,8.443600,0.026000,0.024900,0.001100,0.012400,4.951100,0.353600,0.072500,3.805600,4.951100,0.353600,17.214200,0.592000,0.561700,54,47
000000014,0.494300,0.090500,7,0.500000,5.733500,0.409500,5,0.084800,0.079100,0.069100,0.066700,0.013900,0.065700,0.014800,7.721300,0.026500,0.025400,0.001000,0.010900,4.879700,0.348500,0.072400,3.766900,4.879700,0.348500,15.962200,0.592000,0.561500,58,46
000000015,0.494300,0.100200,7,0.500000,5.596800,0.399800,4,0.094600,0.088900,0.078500,0.075500,0.014800,0.074200,0.016300,8.754100,0.026500,0.025500,0.001000,0.013200,5.002400,0.357300,0.071400,3.831900,5.002400,0.357300,17.684900,0.613300,0.554600,53,48
000000016,0.494300,0.100400,7,0.500000,5.593800,0.399600,4,0.094800,0.089100,0.078800,0.075700,0.014900,0.074500,0.016300,8.772600,0.026500,0.025500,0.001000,0.013200,4.992700,0.356600,0.071400,3.825300,4.992700,0.356600,17.723200,0.613300,0.554700,53,48
000000017,0.494300,0.101800,7,0.500000,5.574800,0.398200,4,0.096100,0.090500,0.080100,0.077000,0.015000,0.075700,0.016500,8.913600,0.026500,0.025400,0.001000,0.013400,4.994800,0.356800,0.071400,3.826100,4.994800,0.356800,17.962000,0.613300,0.554700,52,48
000000018,0.494300,0.102200,7,0.500000,5.569700,0.397800,4,0.096500,0.090800,0.080400,0.077300,0.015000,0.076000,0.016500,8.812400,0.026500,0.025200,0.001300,0.013000,5.014200,0.358200,0.071200,3.847800,5.014200,0.358200,18.026100,0.612500,0.554700,52,48
000000019,0.494300,0.102000,7,0.500000,5.571500,0.398000,4,0.096400,0.090700,0.080200,0.077100,0.015000,0.075900,0.016500,8.796000,0.026500,0.025200,0.001200,0.012900,5.019500,0.358500,0.071200,3.851000,5.019500,0.358500,18.003600,0.612500,0.554700,52,48
000000020,0.494300,0.102200,7,0.500000,5.568700,0.397800,4,0.096600,0.090900,0.080400,0.077300,0.015000,0.076000,0.016500,8.815400,0.025900,0.024600,0.001200,0.013000,5.027200,0.359100,0.071200,3.855300,5.027200,0.359100,18.039400,0.612500,0.554700,52,48
000000021,0.494300,0.102000,7,0.500000,5.572400,0.398000,4,0.096300,0.090600,0.080100,0.077000,0.014900,0.075700,0.016500,8.810200,0.025900,0.024700,0.001100,0.013100,5.039000,0.359900,0.071100,3.863300,5.039000,0.359900,17.992900,0.612500,0.554500,52,48
000000022,0.494300,0.099700,7,0.500000,5.604500,0.400300,4,0.094000,0.088300,0.078500,0.075200,0.014800,0.073900,0.015100,8.360100,0.025900,0.024400,0.001500,0.011700,4.917200,0.351200,0.070800,3.729200,4.917200,0.351200,17.588500,0.611400,0.554500,53,47
000000023,0.494300,0.100100,7,0.500000,5.598400,0.399900,4,0.094400,0.088800,0.079100,0.075700,0.014900,0.074400,0.015100,8.386100,0.025900,0.024300,0.001600,0.011700,4.897800,0.349800,0.070900,3.716000,4.897800,0.349800,17.664900,0.611400,0.554700,53,47
000000024,0.494300,0.107500,7,0.500000,5.495700,0.392500,4,0.101800,0.096100,0.087200,0.083600,0.016400,0.082200,0.017000,9.639500,0.026400,0.024800,0.001600,0.014600,4.697800,0.335600,0.072700,3.565600,4.697800,0.335600,18.959800,0.614600,0.556000,49,45
