map,county_splitting,district_splitting,counties_split,county_splits,splitting
000002500,1.370300,2.325200,45,65,0
000005000,1.350500,2.401100,53,70,2
000007500,1.364900,2.327000,47,63,0
000010000,1.377200,2.256200,42,60,0
000012500,1.350000,2.372500,50,67,2
000015000,1.352400,2.330300,47,60,2
000017500,1.351100,2.356900,49,63,2
000020000,1.388600,2.393500,48,66,0
000022500,1.385600,2.393000,48,67,0
000025000,1.324500,2.289700,45,59,6
000027500,1.385400,2.314900,42,61,0
000030000,1.352700,2.212800,41,57,2
000032500,1.329200,2.282900,45,59,5
000035000,1.340700,2.238800,45,60,4
000037500,1.326500,2.287800,47,63,6
000040000,1.347200,2.287300,45,62,2
000042500,1.352400,2.318900,45,63,2
000045000,1.325600,2.340700,50,65,6
000047500,1.386700,2.403800,49,61,0
000050000,1.323000,2.290300,47,58,6
000052500,1.372200,2.354000,50,61,0
000055000,1.360700,2.292500,45,60,0
000057500,1.369900,2.382700,49,67,0
000060000,1.370000,2.293600,44,61,0
000062500,1.336400,2.266600,46,64,4
000065000,1.358000,2.311700,49,66,1
000067500,1.313200,2.264400,47,60,8
000070000,1.351300,2.277000,45,60,2
000072500,1.353400,2.305700,46,61,2
000075000,1.327100,2.299200,45,60,6
000077500,1.333000,2.297800,46,57,4
000080000,1.351600,2.358600,48,62,2
000082500,1.361500,2.372500,49,67,0
000085000,1.357300,2.313500,45,60,1
000087500,1.346100,2.362300,49,67,2
000090000,1.371000,2.268900,42,60,0
000092500,1.362000,2.301600,46,58,0
000095000,1.381500,2.473500,53,71,0
000097500,1.328900,2.319200,51,69,6
000100000,1.325400,2.240600,43,61,6
000102500,1.330400,2.291600,45,62,5
000105000,1.342700,2.272200,47,60,3
000107500,1.364400,2.272100,46,62,0
000110000,1.348500,2.256000,42,55,2
000112500,1.352800,2.325300,46,65,2
000115000,1.369800,2.344100,44,61,0
000117500,1.376500,2.350000,46,62,0
000120000,1.378700,2.352300,46,60,0
000122500,1.342100,2.268500,44,54,4
000125000,1.371600,2.314500,45,65,0
000127500,1.381800,2.356900,50,66,0
000130000,1.352600,2.334200,47,61,2
000132500,1.373100,2.495500,54,69,0
000135000,1.339800,2.338500,50,65,4
000137500,1.392300,2.345600,46,58,0
000140000,1.342300,2.264200,46,61,4
000142500,1.321000,2.242000,43,57,6
000145000,1.354900,2.338500,48,63,2
000147500,1.336100,2.252500,43,63,4
000150000,1.328300,2.233200,43,56,6
000152500,1.343400,2.339000,46,67,3
