GEOID,DISTRICT
370210001.1,2
370210053.1,2
370210068.1,2
370210022.2,2
370210027.2,2
370210058.1,2
370210059.1,2
37191000004,10
37191000026,10
37191002530,10
3706100CALY,4
37191000028,10
37191000002,10
370210066.1,2
37143BETHEL,1
370210044.1,2
370210024.1,2
370210048.1,2
370210038.3,2
370210036.1,2
37111FORT-1,2
37111FORT-2,2
370210060.2,2
37035000019,14
37035000006,14
37035000002,14
370230029-B,14
370230029-A,14
3710900NB35,14
37035000030,14
37035000014,14
37035000032,14
37035000001,14
370210002.1,2
37035000017,14
37035000026,14
37035000024,14
37023000012,14
37023000013,14
37023000015,14
371350000SM,12
371350000CP,12
37063000044,12
371350000HE,12
37135000ENO,12
37063000045,12
37063000050,12
37153000004,5
370210011.1,2
370210045.1,2
370210039.2,2
370210039.3,2
370210037.1,2
370210003.1,2
370210054.2,2
370210018.2,2
370890000FL,2
370210052.1,2
37035000016,14
37035000029,14
37035000012,14
37035000023,14
371050000D1,9
371050000D2,9
371050000C1,9
371050000C2,9
371350000WD,12
37135000WDS,12
37153000009,5
371050000E1,9
371050000E2,9
3708500PR23,9
3708500PR26,9
3708500PR24,9
3710100PR14,9
3708500PR25,9
3708500PR29,9
370210047.1,2
37143PARKVI,1
37143NEW-HO,1
3706100WOLF,4
370210025.1,2
370210008.3,2
370210060.4,2
370210008.2,2
370210034.1,2
3706100MAGN,4
3716300ROWA,4
3716300INGO,4
3706100BEUL,4
37107000PH2,4
3706100KENA,4
37135000CS1,12
37153000008,5
37165006-89,5
37153000005,5
37165001-16,5
37155000019,5
3703100NPT2,1
3703100NPT1,1
3703100IBSP,1
3703100MHD2,1
3703100ABCH,1
3703100MHD1,1
3708500PR07,9
3706100WALL,4
3706100ROSE,4
3706100WARS,4
3716300TURK,4
3706100FAIS,4
3716300GIDD,4
3706100GLIS,4
37165000004,5
37165000003,5
37017000P80,5
37017000P45,4
3701700P202,5
37017000P55,4
3713300BC21,4
3713300ML23,4
37103000P07,1
3713300NR02,4
37143NICANO,1
37035000013,14
371350000NS,12
371350000WW,12
37019000016,4
370190004B2,4
3701900004A,4
37129000W03,4
37129000W26,4
37019000021,4
37019000007,4
37019000017,4
37019000019,4
37019000008,4
37019000020,4
37019000015,4
37153000002,5
37153000001,5
37153000013,5
37165002-25,5
371350000KM,12
37035000031,8
37035000008,14
371350000LC,12
37191000013,10
37191000007,10
37191000001,10
37191001920,10
37191000029,10
37191000012,10
37057000062,6
37057000066,6
37123000LIT,6
37055000KDH,1
370550000EL,1
3705500AVON,1
3705500KTHK,1
3705500SOSH,1
370210023.3,2
370210021.1,2
370210023.2,2
370210014.3,2
370210042.1,2
370210067.1,2
370210012.1,2
370210033.3,2
37119000202,3
37119000206,3
37119000201,7
37119000097,7
37119000114,7
37119000134,8
37119000087,7
371190223.1,8
37119000011,8
37119000019,7
37119000227,7
37119000208,8
370970DV1-B,8
370970DV2-B,3
371190139.1,7
37119000236,7
371350000GB,12
371350000OG,12
3700100009S,12
371350000WH,12
3713500000H,12
371350000EF,12
37153000010,5
371350000CW,12
37063000025,12
37063000026,12
3707700BERE,11
37069000013,10
37035000041,8
37035000020,14
37035000037,14
37035000003,14
37035000040,14
37035000035,14
37035000025,14
3710100PR09,10
371010PR29B,10
3710100PR13,9
3710100PR34,10
3710100PR08,10
3710100PR36,10
37083000HPR,1
3710100PR20,10
37183009-02,10
3710100PR35,9
3716300PLVW,9
3708500PR31,9
37119000237,3
371190204.1,3
37119000041,8
37119000081,8
37119000133,3
37119000054,8
37119000148,7
37119000062,7
3707700BTNR,11
3707700CORI,11
3707700SOOX,11
37173ALMOND,2
3707500EAST,2
37113000015,2
3707500STEC,2
37173000BC1,2
37173000BC2,2
37099000SDC,2
37099000QUA,2
370870000IH,2
37113000003,2
37113000007,2
371050000A1,9
371050000A2,9
3708500PR01,9
37051SL78-3,5
3708500PR08,9
3712700P02A,10
3712700P23A,10
3712700P17A,10
3712700P16A,10
3712700P04A,10
3712700P11A,10
3712700P14A,10
3712700P10A,10
3712700P03A,10
37153000006,5
37057000056,3
3708300ENF1,10
3712700P13A,10
371170000GN,1
370150000RX,1
370150000WD,1
370830BUTWD,10
37185000009,10
370830LIT-2,10
37185000001,10
37131LAKE-G,10
3708300RR-3,10
37083000RRC,10
37049000011,1
37049000007,1
37049000002,1
3703100STEL,1
37049000003,1
3704900VE14,1
37147000601,1
3712700P08A,10
3707700CRDL,11
3713300JA01,4
3713300BM08,4
371330NE22A,4
3713300VR15,4
3713300HU20,4
371330NE22B,4
3713300EN03,4
37035000034,14
3717300WHCH,2
3708500PR20,9
3705100LI65,9
3708500PR28,9
37183012-02,9
3708500PR32,9
37119000203,7
37119000216,7
37119000232,7
3710900IS23,8
37161000011,14
3716100006A,2
3714900CG05,2
37191000009,10
37191000015,10
37191000010,10
37191000024,10
3710100PR04,10
37057000058,13
37057000008,13
37057000020,13
37057000052,13
37057000016,13
37067000042,13
370210064.1,2
370210009.1,2
370210057.1,2
370210031.1,2
370210055.1,2
37119000224,8
37119000050,8
37119000069,7
37119000023,8
37119000063,7
37119000104,7
37119000229,8
37119000243,8
3712700P21A,10
3712700P19A,10
37037000018,12
37125000CAR,5
37037000020,9
371050000B1,9
37183006-10,9
37037MCH110,12
37037NWM117,12
371350000WC,12
37037000085,12
371510000SE,12
37037000030,12
37119000132,3
3716100005A,14
3710900LS12,14
3710900DW28,8
37161000028,2
37161000030,2
37161000013,14
3710900TA37,8
37057000054,6
371510000TB,6
37057000074,13
37057000048,13
37057000070,13
37123000CHE,5
3712700P20A,10
3712700P24A,10
3714900WO06,2
37161000018,2
3714900CL07,2
3714900SA04,2
370890000RR,2
37057000032,13
37057000004,13
37057000076,6
371510000TR,6
370830RR-10,10
37083WEL1-2,1
370830LIT-1,10
3704900DFB9,1
3704900CFB8,1
37147001001,1
3710700000C,1
37049000017,1
370490000N2,1
37037000015,12
37037000078,12
37037ESC114,12
37037000042,9
37037000006,12
37037000045,9
37099000GCK,2
37099000CUL,2
370210013.1,2
3714700800B,1
3714701512A,1
37119000022,8
37119000207,3
37119000242,8
37119000043,7
37119000136,7
37119000211,8
37119000241,3
37017000P65,4
37017000P10,5
37119000031,8
37119000088,7
37119000230,8
37119000205,3
37025001-04,3
37119000209,8
3710100PR22,10
37119000145,3
37119000239,3
37025002-09,3
37119000094,7
37119000141,3
37119000105,3
3714900CL08,2
37035000005,14
3714701513A,1
37119000213,8
37119000093,7
371750000CM,2
371750000BD,2
371750000WC,2
371750000PF,2
37147001501,1
371750000B4,2
371750000RE,2
37119000013,8
37119000026,8
37123000UWH,3
37123000PEE,3
37123000STA,6
37125000WEM,6
371230000T1,3
37123000CAN,5
37113000002,2
37113000014,2
37113000010,2
370210030.3,2
370210030.2,2
370890000NM,2
370210071.1,2
37147000301,1
37119000220,7
37119000058,8
37119000099,7
37119000233,7
37119000009,8
37119000140,7
37119000109,7
37155000002,5
3715500032A,5
37155000023,5
37155000022,5
37155000016,5
37017000P60,5
3701700P201,5
37047000P15,5
37119000231,7
37017000P25,5
37047000P18,5
37017000P40,4
3700300LRSL,14
3700300T2T3,14
37019000006,4
37019000022,4
37019000023,4
37099000SAV,2
37113000012,2
3704300SHCR,2
3703100BFT2,1
3703100EMIS,4
3713300SW19,4
3703100BFT1,1
3703100DASW,1
3703100BOGU,1
3704700P22A,5
3704700P20A,5
3704700P01A,4
37047000P24,5
3704700P26B,5
3704700P16B,4
37047000P09,5
37047000P08,5
37023000051,14
37009000009,14
37093000063,5
37093000061,5
37155000039,5
37185000010,10
371070000K6,1
3710700000W,1
37103000P06,4
37107000PH1,4
3703100CISL,1
3703100ATSL,1
370870000EF,2
3714500PNTH,12
3708700WS-2,2
37009000020,14
37009000014,14
37009000012,14
37009000011,14
37023000014,14
37023000036,14
37023000035,14
37023000065,14
370870000AC,2
37093000062,5
37119000016,8
37069000019,11
37069000009,10
37049000020,1
371370001RB,1
3704900TE13,1
37049000019,1
37049000021,1
370490000N4,1
37049000016,1
3719500PRWB,10
3719500PRWL,10
3719500PRTO,10
3719500PRWN,10
3719500PRWJ,10
3719500PRCR,10
3719500PRSP,10
3703100MCRK,1
3703100BCRK,1
3703100WILD,1
3703100CCCP,4
3703100MERR,1
37009000004,14
37009000015,14
3700500006A,14
37193000125,14
37017000P30,4
3704700P02B,4
37047000P14,4
3703100MASM,1
3700300S1S2,14
3719500PRWQ,10
3719500PRWI,10
3719500PRTA,10
3703100MHD4,1
3710900ST36,14
37035000009,14
3716100016A,2
37111M.COVE,2
3716100004A,14
3710900LI14,14
3710900SL24,8
37161000014,14
37161000029,14
37023000052,14
37023000001,14
37009000007,14
3708700CL-S,2
3708700CL-N,2
3714500ALVI,12
3714500CUCL,12
3714500WDSD,12
370870000BC,2
37093000012,5
37171000031,13
37171000019,13
37171000023,13
3719500PRBL,10
37023000031,14
37023000021,14
37023000024,14
3701700P501,5
3702700PR33,14
3702700PR25,14
37171000029,13
37017000P15,5
3713300RL09,4
37093000013,5
37155000010,5
37155000021,5
370510G9B-1,5
37155000008,5
37155000009,5
37037PIT113,12
37037000009,12
3714701508A,1
3714701508B,1
37119000137,7
37069000015,10
37069000003,11
37069000008,10
37069000005,10
37069000016,10
37069000001,10
3700300000E,14
371510000AW,6
371510000SO,6
371510000DR,6
371510000GR,6
371510000PR,6
371510000AE,6
371570000DR,12
37161000027,2
3702700PR32,14
3702700PR21,14
37023000066,14
3702700PR22,14
37111DYSART,14
3700300000W,14
37093000064,5
3702700PR34,14
3702700PR35,14
3702700PR14,14
3701300RVRD,1
371570000MS,6
3716100009A,2
3714900GC09,2
37037000075,9
37037000024,12
37009000006,14
37023000040,14
37023000022,14
37069000018,10
37069000011,10
3710100PR37,10
3710100PR07,10
37191000003,10
3710100PR25,10
3710100PR26,10
37165005-10,5
370130AUROR,1
370130WASH4,1
371170000R2,1
371170000BG,1
3701300TCRK,1
3701300OLDF,1
370130EDWAR,1
370130BELHV,1
371170000CR,1
37147000401,1
3714701504A,1
3714701504B,1
3714701505B,1
37171000030,13
37171000005,13
3713300FS16,4
3713300HR17,4
3713300MT24,4
3714100SC13,4
3714100UH08,4
3714100SP15,4
3719500PROL,10
3712700P01A,10
3719500PRWE,10
3719500PRWM,10
3719500PRGA,10
371010PR31A,9
371010PR10A,10
371010PR10B,10
371010PR11B,10
371010PR29A,10
371010PR27A,10
371010PR27B,10
3710100PR30,10
3703300LEAS,12
37119000146,3
37119000225,8
37119000151,3
37119000065,7
37099000SCC,2
37047000P07,5
37113000013,2
37093000002,5
3715500026A,5
371070000K2,1
371570000EC,6
371570000WS,6
371510000LC,6
371510000UG,6
371570000RC,6
37115MARS-H,2
37019000005,4
37019000001,4
370830000SN,1
37099000BCK,2
37119000135,8
37119000014,8
37119000098,8
37183016-06,9
37183017-13,10
37183017-12,10
37183017-04,10
37183004-11,9
3704900N3N5,1
37155000041,5
37155000014,5
37183001-11,11
37183004-20,9
37183010-04,10
37183020-15,11
37183020-17,9
37183020-14,9
37183020-16,9
37183001-20,11
37183019-13,11
37183019-14,11
37183019-15,11
37183019-05,11
370150000M2,1
371510000AR,6
3712700P15A,10
3712700P07A,10
37083000HAL,1
37071000014,8
37071000039,8
37057000028,13
37103000P05,1
37103000P01,1
3705500STPT,1
371390NORTH,1
37057000046,13
37057000082,13
3708100MON1,6
37081000G06,6
3713900EAST,1
37183001-45,11
37183001-40,11
37071000023,8
37023000011,14
370030000B1,14
3719700BNVL,13
3719700SKNB,13
3702700PR01,14
3702700PR18,14
37057000012,6
370510G9B-2,5
37051000G9A,5
370510G3A-1,5
370510G3A-2,5
37051000G8D,5
3705100CC12,5
3705100CC14,5
3705100CC07,5
3706100ALBE,4
37019000014,4
37019000013,4
3701900010A,4
3701900010B,4
37057000088,6
37081000H15,6
37057000018,13
37057000072,13
37057000060,6
37081000H22,6
37081NCLAY2,12
3708100JEF1,12
370810NWASH,12
37081000G35,6
37167000026,3
37081000G52,6
37001000127,12
3700100012N,12
37001000013,12
3700100006E,12
37001000063,12
3719903-EGY,2
37183010-03,10
37183004-05,11
37071000021,8
37003T1T4T5,14
37183017-11,11
37183001-50,9
37183010-02,10
37183008-02,11
37183020-08,9
37183001-15,11
37183001-49,9
3705100CC33,5
3705100CC01,5
37125000PBF,5
37125000LTR,5
37125000PHC,5
37125000EAB,5
37125000PDN,5
37093000004,5
37169000017,13
37169000015,13
37169000007,13
371510000BC,6
371510000AS,6
371510000LB,12
37001000001,12
370130000HB,1
37081000H04,6
3708100JAM5,6
37169000004,13
37169000020,13
37169001819,13
37169001618,13
37095000ENG,1
37169000009,13
371370003BY,1
370510G2C-2,5
37051000G2A,5
370510G2E-2,5
37051000G2B,5
370510G2C-1,5
3705100G11B,5
37051000G2D,9
3705100CC17,5
370510G2E-1,5
370510G5A-2,5
370510G5B-1,5
370510G5A-1,5
37051000G5C,5
370510G5B-2,5
37051000G8A,5
37051000G8B,5
37051000G8C,5
3705100AH49,5
37051000G6A,5
37051000G6C,5
37051000G6B,5
37017000P70,5
3716300CLEM,9
37071000017,8
371170000R1,1
371170000HM,1
3711700000J,1
370130PINET,1
370150000MH,1
371570000HO,6
37081000FR4,6
37081000H09,6
37081000H08,6
37081000G29,6
37169000008,13
37169000013,13
37169000012,13
37081000RC2,12
37125000WAB,5
37125000WND,5
37037000003,12
37019000002,4
37189000011,14
37189000014,14
37115LAUREL,2
37001000002,12
37001000005,12
3703300ANDE,12
3703300STON,12
37001000011,12
371350000CA,12
370330000PH,12
37001000007,12
3700100008S,12
37071000025,8
37071000028,8
37071000029,8
3713704VM-A,1
3713704MSIC,1
371510000NM,6
371510000RN,6
371510000RM,12
37193000106,13
37189000005,14
37081000G61,6
37081000G48,6
37081000G50,6
37081000H01,6
37081000PG2,6
37155000035,5
37185000012,10
370130BEADM,1
37193000124,13
37171000001,13
37193000107,13
37193000128,14
37193000103,14
37193000122,13
3719700SBCK,13
370810MON2B,6
370810MON2A,6
37081000FR1,6
371150BEECH,2
370210051.2,2
371510000ST,12
37051CL57-1,5
3705100CC27,5
3705100G10C,5
3705100G10A,5
3705100G10B,5
37125000VSS,5
3712500EKWD,5
3712500WKWD,5
37125000CAM,5
37051CL57-2,5
37051000G3B,5
37051000G3C,5
3705100LR63,5
3710900HC33,14
3710900OB21,8
3710900LN11,14
3706100ROCK,4
3716300HARR,4
3706100CYCK,4
3713300CL10,4
3713300NM13,4
3706100SMCA,4
3714500SWST,12
3708700WS-1,2
3714500ROX4,12
37065001001,1
3715500018A,5
3719901-BUR,2
3719908-CRA,2
37065001203,10
37065001204,10
37065000101,1
370870000CR,2
3708700FC-2,2
3713300HN14,4
370950000BM,1
370130PANTE,1
37183004-18,11
37183001-23,11
3712700P05A,10
37081000G75,6
37081000SF1,6
37081000OR1,6
37081000G47,6
37081000G74,6
37167000010,3
37167000013,3
37167000023,3
37081000G53,6
3708100SMAD,12
37081000G65,6
37081000G51,6
37167000008,3
37167000015,3
3708100JEF2,6
37081000G72,6
371150SOUTH,2
37115WALNUT,2
37019000011,4
3701300WDPD,1
371170000W2,1
370150000W1,1
370130WASHP,1
3708100SDRI,6
37081000G64,6
3708100SUM2,6
3708100H19A,6
37081000G15,6
37081000GIB,12
37167000017,3
37159000022,3
37081NCLAY1,6
3713300TL06,4
3713300GB12,4
371570000SE,12
371570000HU,6
371570000MC,12
370890000SW,2
3708100MON3,6
371570000IR,6
37081000G44,6
37081000G67,6
37081000G32,6
37081000H03,6
370810000GR,12
3714100PL10,4
3714100UU17,4
3708700000P,2
3708700BE-1,2
3708700BE-3,2
3714500MTTZ,12
37063000028,11
370890000RG,2
370890000SE,2
3708900HV-2,2
370890000SB,2
370890000GR,2
3714500RCTL,12
37057000024,13
37057000036,13
37057000050,13
3716300AUTR,9
37179000009,7
37179000006,7
3717900020B,7
37179000043,7
37179000039,7
37179000015,7
37179000040,7
37179000008,7
3717900029C,7
3701300NCRK,1
370130SURBA,1
37045000S-C,14
3704500KM-S,8
37045GROVER,8
370450MULLS,14
370450CASAR,14
3716100010A,14
37045SHANGI,14
3704500S-4A,14
3704500LATT,14
3714100UT14,4
37067000132,13
3712900CF02,4
37129000H12,4
37129000H13,4
3712900CF01,4
37019000003,4
3714100GR06,4
3716300MING,9
37129000H11,4
37129000H10,4
37129000W27,4
37129000H08,4
37129000H02,4
3716300LAKE,5
3716300ROSE,5
37081000H28,6
3708100H29B,6
3708100H29A,6
37009000013,14
3702700PR02,14
37123000ELD,3
37057000022,13
37057000038,13
37057000006,13
37067000606,13
37067000906,13
37067000021,13
3714100CL05,4
37155000003,5
371170000GR,1
37019000018,4
37001000035,12
37001000064,12
37001000128,12
3702700PR13,14
3702700PR07,14
37023000062,14
37011000004,14
37179000012,7
37009000018,14
3703300MILT,12
3700100006N,12
