GEOID,DISTRICT
370210001.1,1
370210053.1,1
370210068.1,1
370210022.2,1
370210027.2,1
370210058.1,1
370210059.1,1
37191000004,2
37191000026,2
37191002530,2
3706100CALY,2
37191000028,2
37191000002,2
370210066.1,1
37143BETHEL,3
370210044.1,1
370210024.1,1
370210048.1,1
370210038.3,1
370210036.1,1
37111FORT-1,1
37111FORT-2,1
370210060.2,1
37035000019,4
37035000006,4
37035000002,4
370230029-B,4
370230029-A,4
3710900NB35,4
37035000030,4
37035000014,4
37035000032,4
37035000001,4
370210002.1,1
37035000017,4
37035000026,4
37035000024,4
37023000012,4
37023000013,4
37023000015,4
371350000SM,5
371350000CP,5
37063000044,5
371350000HE,5
37135000ENO,5
37063000045,5
37063000050,5
37153000004,6
370210011.1,1
370210045.1,1
370210039.2,1
370210039.3,1
370210037.1,1
370210003.1,1
370210054.2,1
370210018.2,1
370890000FL,1
370210052.1,1
37035000016,4
37035000029,4
37035000012,4
37035000023,4
371050000D1,5
371050000D2,5
371050000C1,6
371050000C2,6
371350000WD,5
37135000WDS,5
37153000009,6
371050000E1,7
371050000E2,7
3708500PR23,7
3708500PR26,7
3708500PR24,7
3710100PR14,7
3708500PR25,7
3708500PR29,7
370210047.1,1
37143PARKVI,3
37143NEW-HO,3
3706100WOLF,8
370210025.1,1
370210008.3,1
370210060.4,1
370210008.2,1
370210034.1,1
3706100MAGN,8
3716300ROWA,8
3716300INGO,8
3706100BEUL,8
37107000PH2,8
3706100KENA,8
37135000CS1,5
37153000008,6
37165006-89,6
37153000005,6
37165001-16,6
37155000019,6
3703100NPT2,3
3703100NPT1,3
3703100IBSP,3
3703100MHD2,3
3703100ABCH,3
3703100MHD1,3
3708500PR07,7
3706100WALL,8
3706100ROSE,8
3706100WARS,8
3716300TURK,8
3706100FAIS,8
3716300GIDD,2
3706100GLIS,8
37165000004,6
37165000003,6
37017000P80,6
37017000P45,8
3701700P202,6
37017000P55,8
3713300BC21,8
3713300ML23,3
37103000P07,3
3713300NR02,8
37143NICANO,3
37035000013,4
371350000NS,5
371350000WW,5
37019000016,8
370190004B2,8
3701900004A,8
37129000W03,8
37129000W26,8
37019000021,8
37019000007,8
37019000017,8
37019000019,8
37019000008,8
37019000020,8
37019000015,8
37153000002,6
37153000001,6
37153000013,6
37165002-25,6
371350000KM,5
37035000031,9
37035000008,4
371350000LC,5
37191000013,2
37191000007,2
37191000001,2
37191001920,2
37191000029,2
37191000012,2
37057000062,10
37057000066,11
37123000LIT,10
37055000KDH,3
370550000EL,3
3705500AVON,3
3705500KTHK,3
3705500SOSH,3
370210023.3,1
370210021.1,1
370210023.2,1
370210014.3,1
370210042.1,1
370210067.1,1
370210012.1,1
370210033.3,1
37119000202,9
37119000206,9
37119000201,12
37119000097,13
37119000114,13
37119000134,9
37119000087,13
371190223.1,13
37119000011,13
37119000019,13
37119000227,12
37119000208,9
370970DV1-B,9
370970DV2-B,9
371190139.1,12
37119000236,12
371350000GB,5
371350000OG,5
3700100009S,5
371350000WH,5
3713500000H,5
371350000EF,5
37153000010,6
371350000CW,5
37063000025,5
37063000026,5
3707700BERE,14
37069000013,2
37035000041,9
37035000020,4
37035000037,4
37035000003,4
37035000040,4
37035000035,4
37035000025,4
3710100PR09,2
371010PR29B,2
3710100PR13,7
3710100PR34,2
3710100PR08,2
3710100PR36,2
37083000HPR,3
3710100PR20,2
37183009-02,2
3710100PR35,7
3716300PLVW,7
3708500PR31,7
37119000237,9
371190204.1,12
37119000041,13
37119000081,13
37119000133,9
37119000054,13
37119000148,12
37119000062,12
3707700BTNR,14
3707700CORI,14
3707700SOOX,14
37173ALMOND,1
3707500EAST,1
37113000015,1
3707500STEC,1
37173000BC1,1
37173000BC2,1
37099000SDC,1
37099000QUA,1
370870000IH,1
37113000003,1
37113000007,1
371050000A1,7
371050000A2,7
3708500PR01,7
37051SL78-3,6
3708500PR08,7
3712700P02A,2
3712700P23A,2
3712700P17A,2
3712700P16A,2
3712700P04A,2
3712700P11A,2
3712700P14A,2
3712700P10A,2
3712700P03A,2
37153000006,6
37057000056,10
3708300ENF1,2
3712700P13A,2
371170000GN,3
370150000RX,3
370150000WD,3
370830BUTWD,2
37185000009,2
370830LIT-2,2
37185000001,2
37131LAKE-G,2
3708300RR-3,2
37083000RRC,2
37049000011,3
37049000007,3
37049000002,3
3703100STEL,3
37049000003,3
3704900VE14,3
37147000601,3
3712700P08A,2
3707700CRDL,14
3713300JA01,8
3713300BM08,8
371330NE22A,8
3713300VR15,8
3713300HU20,8
371330NE22B,8
3713300EN03,8
37035000034,4
3717300WHCH,1
3708500PR20,7
3705100LI65,7
3708500PR28,7
37183012-02,7
3708500PR32,7
37119000203,12
37119000216,12
37119000232,12
3710900IS23,4
37161000011,4
3716100006A,1
3714900CG05,1
37191000009,2
37191000015,2
37191000010,2
37191000024,2
3710100PR04,2
37057000058,11
37057000008,11
37057000020,11
37057000052,11
37057000016,11
37067000042,11
370210064.1,1
370210009.1,1
370210057.1,1
370210031.1,1
370210055.1,1
37119000224,13
37119000050,13
37119000069,12
37119000023,13
37119000063,12
37119000104,12
37119000229,13
37119000243,13
3712700P21A,2
3712700P19A,2
37037000018,5
37125000CAR,6
37037000020,7
371050000B1,7
37183006-10,7
37037MCH110,5
37037NWM117,5
371350000WC,5
37037000085,5
371510000SE,5
37037000030,5
37119000132,12
3716100005A,4
3710900LS12,4
3710900DW28,13
37161000028,1
37161000030,1
37161000013,4
3710900TA37,9
37057000054,11
371510000TB,10
37057000074,11
37057000048,11
37057000070,11
37123000CHE,6
3712700P20A,2
3712700P24A,2
3714900WO06,1
37161000018,1
3714900CL07,1
3714900SA04,1
370890000RR,1
37057000032,11
37057000004,11
37057000076,10
371510000TR,10
370830RR-10,2
37083WEL1-2,2
370830LIT-1,2
3704900DFB9,3
3704900CFB8,3
37147001001,3
3710700000C,3
37049000017,3
370490000N2,3
37037000015,5
37037000078,5
37037ESC114,5
37037000042,5
37037000006,5
37037000045,5
37099000GCK,1
37099000CUL,1
370210013.1,1
3714700800B,3
3714701512A,3
37119000022,13
37119000207,9
37119000242,9
37119000043,12
37119000136,12
37119000211,13
37119000241,9
37017000P65,8
37017000P10,6
37119000031,13
37119000088,13
37119000230,13
37119000205,12
37025001-04,12
37119000209,13
3710100PR22,2
37119000145,9
37119000239,9
37025002-09,9
37119000094,12
37119000141,9
37119000105,12
3714900CL08,1
37035000005,4
3714701513A,3
37119000213,13
37119000093,13
371750000CM,1
371750000BD,1
371750000WC,1
371750000PF,1
37147001501,3
371750000B4,1
371750000RE,1
37119000013,13
37119000026,13
37123000UWH,10
37123000PEE,12
37123000STA,6
37125000WEM,5
371230000T1,10
37123000CAN,6
37113000002,1
37113000014,1
37113000010,1
370210030.3,1
370210030.2,1
370890000NM,1
370210071.1,1
37147000301,3
37119000220,12
37119000058,13
37119000099,12
37119000233,12
37119000009,13
37119000140,13
37119000109,13
37155000002,6
3715500032A,6
37155000023,6
37155000022,6
37155000016,6
37017000P60,6
3701700P201,6
37047000P15,6
37119000231,13
37017000P25,8
37047000P18,6
37017000P40,8
3700300LRSL,4
3700300T2T3,4
37019000006,8
37019000022,8
37019000023,8
37099000SAV,1
37113000012,1
3704300SHCR,1
3703100BFT2,3
3703100EMIS,3
3713300SW19,8
3703100BFT1,3
3703100DASW,3
3703100BOGU,3
3704700P22A,8
3704700P20A,8
3704700P01A,8
37047000P24,6
3704700P26B,8
